Status,Date,Title,Price,Price_units,Amount,Amount_units,Waste_type
Открыто,2021-10-17,Продаëм прозрачную ПВХ ленту на переработку,68.0,₽/кг.,40.0,т.,Пластик
Открыто,2021-10-15,Литники АБС,25.0,₽/т.,1.0,т.,Пластик
Открыто,2021-10-15,Продам агломерат ПВД,75.0,₽/кг.,4.0,т.,Пластик
Открыто,2021-10-15,Продаю гранулу из ПВД,85.0,₽/кг.,15.0,т.,Пластик
Открыто,2021-10-15,Продам ПП труба 1 тонна ,10.0,₽/кг.,1000.0,кг.,Пластик
Открыто,2021-10-15,"Папки-файлы перфорированные, А4, комплект 100 шт., гладкие, 25 мкм",1.1,₽/шт.,1000000.0,шт.,Пластик
Открыто,2021-10-15,Продам 5б1 - отходы производства ,21000.0,₽/т.,20.0,т.,Макулатура
Открыто,2021-10-15,ПП+ПВД,1.0,₽/кг.,1.0,кг.,Пластик
Открыто,2021-10-15,Продам ПП микс,32.0,₽/кг.,20.0,т.,Пластик
Открыто,2021-10-15,Отходы фольги прессованные,55.0,₽/кг.,20.0,т.,Металлы
Открыто,2021-10-14,Продам ПП лотки дроблëнные,45.0,₽/кг.,1500.0,кг.,Пластик
Открыто,2021-10-14,ПП полог,1.0,₽/кг.,1.0,кг.,Пластик
Открыто,2021-10-14,Пэт бутылка,43.0,₽/кг.,3000.0,кг.,Пластик
Открыто,2021-10-14,Продаю не использованные дой-паки ,30.0,₽/кг.,1450.0,кг.,Остальное
Открыто,2021-10-14,"ПВХ брак производства,панели,Сайдинг ",37.0,₽/кг.,2000.0,кг.,Пластик
Открыто,2021-08-31,Отходы пвд,60.0,₽/кг.,3000.0,кг.,Пластик
Открыто,2021-08-31,Продам Биг бэги целые для дальнейшего использования,240.0,₽/шт.,3000.0,шт.,Пластик
Открыто,2021-08-31, пнд дробленый ,78.0,₽/кг.,10.0,т.,Пластик
Открыто,2021-08-31,Полистирол вспенивающийся с посторонними включениями,199.5,₽/кг.,1270.0,кг.,Пластик
Открыто,2021-08-31,Полистирол вспенивающийся,199.0,₽/кг.,880.0,кг.,Пластик
Открыто,2021-08-31,Продам гранулы пп зеленного цвета,100.0,₽/кг.,17.0,т.,Пластик
Открыто,2021-08-31,Продаю ёмкость из пнд,15000.0,₽/шт.,4.0,шт.,Пластик
Открыто,2021-08-31,Вторичный ПВД,95.0,₽/кг.,8.0,т.,Остальное
Открыто,2021-08-31,Продам чистый брак ПП (спанбонд) ,1.0,₽/кг.,40000.0,кг.,Пластик
Открыто,2021-08-31,Отходы вязального производства.,15.0,₽/кг.,500.0,кг.,Пластик
Открыто,2021-08-30,Продам ячейку,10.0,₽/кг.,10.0,т.,Макулатура
Открыто,2021-08-30,Загрязненный Шелсол Д60,1.0,₽/кг.,10.0,т.,Остальное
Открыто,2021-08-30,"Бутылка ПЭТ, кефир матовый, масло подсолнечное,  микс цветной, молоко бесцетное",46.0,₽/кг.,90.0,т.,Пластик
Открыто,2021-08-30,"Банка алюминевая, жестянка",87.0,₽/кг.,66.0,т.,Металлы
Открыто,2021-08-30,Лента пвх,10.0,₽/кг.,1.0,т.,Пластик
Открыто,2021-08-30,Решетки.,50000.0,₽/т.,28.0,шт.,Металлы
Открыто,2021-08-30,Гранула ПНД литьевая ,85.0,₽/кг.,3000.0,кг.,Пластик
Открыто,2021-08-30,Продам пушонку ПВД,5.0,₽/кг.,60.0,т.,Пластик
Открыто,2021-08-30,Продам пушонку ПНД после ванны флотации,15.0,₽/кг.,60.0,т.,Пластик
Открыто,2021-08-30,Алюминий - продам алюминиевый сбор,1.0,₽/кг.,20.0,т.,Металлы
Открыто,2021-10-14,"Продам  ящик полипропилен , отходы пп ящика.",30.0,₽/кг.,10.0,т.,Пластик
Открыто,2021-10-14,"Продам  пленка пвд , прозрачная магазинка , термоусадка ",65.0,₽/кг.,20.0,т.,Пластик
Открыто,2021-10-14,Гранула ПП исходник биг бэг,1.0,₽/кг.,100.0,т.,Пластик
Открыто,2021-10-14,Агломерат пп Пленки ,75.0,₽/кг.,6.0,т.,Пластик
Открыто,2021-10-14,Мебельные отходы,20.0,₽/кг.,3.0,т.,Текстиль
Открыто,2021-10-14,продам деревянные поддоны,750.0,₽/шт.,1000.0,шт.,Дерево
Открыто,2021-10-14,ПВД дробленка,40.0,₽/кг.,1.0,т.,Пластик
Открыто,2021-10-14,Продаëм брак ПВД плëнки на переработку. ,45.0,₽/кг.,3.0,т.,Пластик
Открыто,2021-10-14,Продам  отходы полиэстера нити пэт,30.0,₽/кг.,5.0,т.,Пластик
Открыто,2021-10-13,Продам картонные втулки ,14.0,₽/кг.,4000.0,кг.,Макулатура
Открыто,2021-10-13,Упаковка от рулонной стали,20000.0,₽/т.,1.0,т.,Пластик
Открыто,2021-10-13,ПНД гранула,95.0,₽/кг.,10000.0,кг.,Пластик
Открыто,2021-10-13,ПЭТ пивная кега,1.0,₽/кг.,1.0,кг.,Пластик
Открыто,2021-10-13,ПНД пленка,1.0,₽/кг.,1.0,кг.,Пластик
Открыто,2021-10-13,ПНД жесткий,1.0,₽/кг.,1.0,кг.,Пластик
Открыто,2021-10-13,полиофелин,1.0,₽/кг.,1.0,кг.,Пластик
Открыто,2021-10-13,ПВД пленка,1.0,₽/кг.,1.0,кг.,Пластик
Открыто,2021-10-13,ПП форма из-под тротуарной плитки,1.0,₽/кг.,1.0,кг.,Пластик
Открыто,2021-10-13,Канистры ПНД,1.0,₽/кг.,1.0,кг.,Пластик
Открыто,2021-10-13,агломерат,23.0,₽/кг.,10.0,т.,Пластик
Открыто,2021-10-12,Стрейч Гранула ,113.0,₽/кг.,100.0,т.,Пластик
Открыто,2021-10-12,ПВД Гранула,105.0,₽/кг.,80.0,т.,Пластик
Открыто,2021-10-12,Гранула ПНД (Канистра) ,110.0,₽/кг.,80.0,т.,Пластик
Открыто,2021-10-11,Бумага,14.0,₽/кг.,10.0,т.,Макулатура
Сделка закрыта,2021-10-11,"Продам литник пвх , бытовой пластик (телевизоры , компьютеры , холодильники) ",25.0,₽/кг.,45.0,т.,Пластик
Открыто,2021-10-11,Реализуем отходы полиуретана ,30.0,₽/кг.,3.0,т.,Остальное
Открыто,2021-10-11,Продаю дробленный АБС пластик,150.0,₽/кг.,19.0,т.,Пластик
Открыто,2021-10-11,Первичный пнд Сабик,110.0,₽/кг.,1.0,т.,Пластик
Открыто,2021-10-11,Счетчики холодной и горячей воды,35.0,₽/кг.,15.0,т.,Пластик
Открыто,2021-10-11,Продаем обрезь синтепона с примесью спанбонда ,50.0,₽/кг.,1000.0,кг.,Текстиль
Открыто,2021-10-11,Продаем мешковину полипропиленовую,27.0,₽/кг.,500.0,кг.,Остальное
Открыто,2021-10-11,Продаëм картонные втулки (шпули). ,14.0,₽/шт.,9300.0,шт.,Остальное
Открыто,2021-10-11,"Продам книги с обложками, продам книги в мягких обложках, газеты, журналы",13.0,₽/кг.,12.0,т.,Макулатура
Открыто,2021-10-11,"Продам ящики фанерные, большие",246.0,₽/шт.,360.0,шт.,Дерево
